"Code","x","y","plot_type","plot_num"
"DR_EPL_1_03",14174.7416292681,27618.9641253083,"path",43
"DR_EPL_1_03",15199.1108295293,27618.9641253083,"path",43
"DR_EPL_1_03",16297.5083462065,27618.9641253083,"path",43
"DR_EPL_1_03",17475.2840000769,25456.4027866104,"path",43
"DR_EPL_1_03",18738.1742286039,25456.4027866104,"path",43
"DR_EPL_1_03",20092.3300256505,25456.4027866104,"path",43
"DR_EPL_1_03",21544.3469003188,25456.4027866104,"path",43
"DR_EPL_1_03",23101.2970008316,25456.4027866104,"path",43
"DR_EPL_1_03",24770.7635599171,25456.4027866104,"path",43
"DR_EPL_1_03",26560.8778294669,25456.4027866104,"path",43
"DR_EPL_1_03",28480.358684358,25456.4027866104,"path",43
"DR_EPL_1_03",30538.5550883342,12844.4788657961,"path",43
"DR_EPL_1_03",32745.4916287773,12844.4788657961,"path",43
"DR_EPL_1_03",35111.9173421513,12844.4788657961,"path",43
"DR_EPL_1_03",37649.3580679247,12844.4788657961,"path",43
"DR_EPL_1_03",40370.1725859655,12844.4788657961,"path",43
"DR_EPL_1_03",43287.6128108306,12844.4788657961,"path",43
"DR_EPL_1_03",46415.8883361278,12844.4788657961,"path",43
"DR_EPL_1_03",49770.2356433211,14366.6875705035,"path",43
"DR_EPL_1_03",53366.9923120631,14366.6875705035,"path",43
"DR_EPL_1_03",57223.6765935022,14366.6875705035,"path",43
"DR_EPL_1_03",61359.0727341318,14366.6875705035,"path",43
"DR_EPL_1_03",65793.3224657568,14366.6875705035,"path",43
"DR_EPL_1_03",70548.0231071865,14366.6875705035,"path",43
"DR_EPL_1_03",75646.3327554629,14366.6875705035,"path",43
"DR_EPL_1_03",81113.0830789687,14366.6875705035,"path",43
"DR_EPL_1_03",86974.9002617784,14366.6875705035,"path",43
"DR_EPL_1_03",93260.334688322,14366.6875705035,"path",43
"DR_EPL_1_03",1e+05,35635.134400205,"path",43
"IE_ERP_2_01",0,1484.03202775781,"path",44
"IE_ERP_2_01",100,1484.03202775781,"path",44
"IE_ERP_2_01",107.226722201032,1484.03202775781,"path",44
"IE_ERP_2_01",114.975699539774,1484.03202775781,"path",44
"IE_ERP_2_01",123.284673944207,1484.03202775781,"path",44
"IE_ERP_2_01",132.194114846603,1484.03202775781,"path",44
"IE_ERP_2_01",141.747416292681,1484.03202775781,"path",44
"IE_ERP_2_01",151.991108295293,1484.03202775781,"path",44
"IE_ERP_2_01",162.975083462064,7171.73786605541,"path",44
"IE_ERP_2_01",174.752840000768,7171.73786605541,"path",44
"IE_ERP_2_01",187.381742286038,7171.73786605541,"path",44
"IE_ERP_2_01",200.923300256505,7171.73786605541,"path",44
"IE_ERP_2_01",215.443469003188,7171.73786605541,"path",44
"IE_ERP_2_01",231.012970008316,7171.73786605541,"path",44
"IE_ERP_2_01",247.707635599171,7171.73786605541,"path",44
"IE_ERP_2_01",265.608778294669,18253.1003424737,"path",44
"IE_ERP_2_01",284.80358684358,18253.1003424737,"path",44
"IE_ERP_2_01",305.385550883342,18253.1003424737,"path",44
"IE_ERP_2_01",327.454916287773,18253.1003424737,"path",44
"IE_ERP_2_01",351.119173421513,18253.1003424737,"path",44
"IE_ERP_2_01",376.493580679247,30202.5753801183,"path",44
"IE_ERP_2_01",403.701725859656,30202.5753801183,"path",44
"IE_ERP_2_01",432.876128108306,30202.5753801183,"path",44
"IE_ERP_2_01",464.158883361278,30202.5753801183,"path",44
"IE_ERP_2_01",497.702356433211,30202.5753801183,"path",44
"IE_ERP_2_01",533.669923120631,30529.7782417864,"path",44
"IE_ERP_2_01",572.236765935022,30529.7782417864,"path",44
"IE_ERP_2_01",613.590727341317,30529.7782417864,"path",44
"IE_ERP_2_01",657.933224657568,30529.7782417864,"path",44
"IE_ERP_2_01",705.480231071864,30529.7782417864,"path",44
"IE_ERP_2_01",756.463327554629,20828.3279938466,"path",44
"IE_ERP_2_01",811.130830789687,20828.3279938466,"path",44
"IE_ERP_2_01",869.749002617784,20828.3279938466,"path",44
"IE_ERP_2_01",932.60334688322,20828.3279938466,"path",44
"IE_ERP_2_01",1000,10793.9135502529,"path",44
"IE_ERP_2_01",1072.26722201032,10793.9135502529,"path",44
"IE_ERP_2_01",1149.75699539774,10793.9135502529,"path",44
"IE_ERP_2_01",1232.84673944207,10793.9135502529,"path",44
"IE_ERP_2_01",1321.94114846603,5261.81359359351,"path",44
"IE_ERP_2_01",1417.47416292681,5261.81359359351,"path",44
"IE_ERP_2_01",1519.91108295293,5261.81359359351,"path",44
"IE_ERP_2_01",1629.75083462064,5261.81359359351,"path",44
"IE_ERP_2_01",1747.52840000768,2919.55196132303,"path",44
"IE_ERP_2_01",1873.81742286038,2919.55196132303,"path",44
"IE_ERP_2_01",2009.23300256505,2919.55196132303,"path",44
"IE_ERP_2_01",2154.43469003189,2919.55196132303,"path",44
"IE_ERP_2_01",2310.12970008316,2919.55196132303,"path",44
"IE_ERP_2_01",2477.07635599171,2988.68272123621,"path",44
"IE_ERP_2_01",2656.08778294669,2988.68272123621,"path",44
"IE_ERP_2_01",2848.0358684358,2988.68272123621,"path",44
"IE_ERP_2_01",3053.85550883342,2988.68272123621,"path",44
"IE_ERP_2_01",3274.54916287773,2988.68272123621,"path",44
"IE_ERP_2_01",3511.19173421513,11302.6316637684,"path",44
"IE_ERP_2_01",3764.93580679247,11302.6316637684,"path",44
"IE_ERP_2_01",4037.01725859656,11302.6316637684,"path",44
"IE_ERP_2_01",4328.76128108306,11302.6316637684,"path",44
"IE_ERP_2_01",4641.58883361278,11302.6316637684,"path",44
"IE_ERP_2_01",4977.02356433211,11302.6316637684,"path",44
"IE_ERP_2_01",5336.69923120631,11302.6316637684,"path",44
"IE_ERP_2_01",5722.36765935022,11302.6316637684,"path",44
"IE_ERP_2_01",6135.90727341317,11302.6316637684,"path",44
"IE_ERP_2_01",6579.33224657568,11302.6316637684,"path",44
"IE_ERP_2_01",7054.80231071865,11302.6316637684,"path",44
"IE_ERP_2_01",7564.63327554629,11302.6316637684,"path",44
"IE_ERP_2_01",8111.30830789687,11302.6316637684,"path",44
"IE_ERP_2_01",8697.49002617784,31967.2878337742,"path",44
"IE_ERP_2_01",9326.0334688322,31967.2878337742,"path",44
"IE_ERP_2_01",10000,31967.2878337742,"path",44
"IE_ERP_2_01",10722.6722201032,31967.2878337742,"path",44
"IE_ERP_2_01",11497.5699539774,31967.2878337742,"path",44
"IE_ERP_2_01",12328.4673944207,31967.2878337742,"path",44
"IE_ERP_2_01",13219.4114846603,31967.2878337742,"path",44
"IE_ERP_2_01",14174.7416292681,31967.2878337742,"path",44
"IE_ERP_2_01",15199.1108295293,31967.2878337742,"path",44
"IE_ERP_2_01",16297.5083462065,31967.2878337742,"path",44
"IE_ERP_2_01",17475.2840000769,31967.2878337742,"path",44
"IE_ERP_2_01",18738.1742286039,22393.7401227539,"path",44
"IE_ERP_2_01",20092.3300256505,22393.7401227539,"path",44
"IE_ERP_2_01",21544.3469003188,22393.7401227539,"path",44
"IE_ERP_2_01",23101.2970008316,22393.7401227539,"path",44
"IE_ERP_2_01",24770.7635599171,22393.7401227539,"path",44
"IE_ERP_2_01",26560.8778294669,22393.7401227539,"path",44
"IE_ERP_2_01",28480.358684358,22393.7401227539,"path",44
"IE_ERP_2_01",30538.5550883342,13277.5638266645,"path",44
"IE_ERP_2_01",32745.4916287773,13277.5638266645,"path",44
"IE_ERP_2_01",35111.9173421513,13277.5638266645,"path",44
"IE_ERP_2_01",37649.3580679247,13277.5638266645,"path",44
"IE_ERP_2_01",40370.1725859655,13277.5638266645,"path",44
"IE_ERP_2_01",43287.6128108306,13277.5638266645,"path",44
"IE_ERP_2_01",46415.8883361278,13277.5638266645,"path",44
"IE_ERP_2_01",49770.2356433211,13277.5638266645,"path",44
"IE_ERP_2_01",53366.9923120631,14374.9350264745,"path",44
"IE_ERP_2_01",57223.6765935022,14374.9350264745,"path",44
"IE_ERP_2_01",61359.0727341318,14374.9350264745,"path",44
"IE_ERP_2_01",65793.3224657568,14374.9350264745,"path",44
"IE_ERP_2_01",70548.0231071865,14374.9350264745,"path",44
"IE_ERP_2_01",75646.3327554629,14374.9350264745,"path",44
"IE_ERP_2_01",81113.0830789687,14374.9350264745,"path",44
"IE_ERP_2_01",86974.9002617784,14374.9350264745,"path",44
"IE_ERP_2_01",93260.334688322,14374.9350264745,"path",44
"IE_ERP_2_01",1e+05,35644.9934585838,"path",44
"IE_ERP_2_02",0,1283.45014627673,"path",45
"IE_ERP_2_02",100,1283.45014627673,"path",45
"IE_ERP_2_02",107.226722201032,1283.45014627673,"path",45
"IE_ERP_2_02",114.975699539774,1283.45014627673,"path",45
"IE_ERP_2_02",123.284673944207,1283.45014627673,"path",45
"IE_ERP_2_02",132.194114846603,1283.45014627673,"path",45
"IE_ERP_2_02",141.747416292681,1283.45014627673,"path",45
"IE_ERP_2_02",151.991108295293,1283.45014627673,"path",45
"IE_ERP_2_02",162.975083462064,8417.33282899356,"path",45
"IE_ERP_2_02",174.752840000768,8417.33282899356,"path",45
"IE_ERP_2_02",187.381742286038,8417.33282899356,"path",45
"IE_ERP_2_02",200.923300256505,8417.33282899356,"path",45
"IE_ERP_2_02",215.443469003188,8417.33282899356,"path",45
"IE_ERP_2_02",231.012970008316,8417.33282899356,"path",45
