Table S1.4. List of populations and ethnicity codes (Latitudes and Longitudes are not necessarily the sampling location)									
Numeric Code	Code	Linguistic Group	Tribe	Biogeography	Biogeography Code	Number of samples	Sample Collecting Institute	Latitude	Longitude
41	DR_WCP_2_03	DR	No	Western Coastal Plains	WCP	167	RGCB	11.77026	75.46927
42	IE_NRP_2_04	IE	No	Northern Riverine Plains	NRP	161	CBR, IGIB	31.31645	75.54175
43	DR_ECP_2_01	DR	No	Eastern Coastal Plains	ECP	56	CCMB	17.12886	82.14032
44	DR_SDN_2_02	DR	No	South Deccan	SDN	162	CBR, NIMHANS	17.86937	76.94347
45	DR_SDN_2_03	DR	No	South Deccan	SDN	59	CBR	12.34651	76.72768
46	IE_NRP_2_01	IE	No	Northern Riverine Plains	NRP	167	AIIMS-Jodhpur, CBR	29.37619	75.6402
47	IE_WCP_2_02	IE	No	Western Coastal Plains	WCP	161	GBRC, IISER-Pune	24.36965	72.30957
48	IE_NRP_2_09	IE	No	Northern Riverine Plains	NRP	167	CBR, IGIB	31.16597	75.96503
49	DR_ECP_2_06	DR	No	Eastern Coastal Plains	ECP	165	CBR	16.78666	81.12627
50	DR_ECP_2_05	DR	No	Eastern Coastal Plains	ECP	86	CBR, CCMB, RGCB	8.537898	78.07082
51	DR_ECP_2_07	DR	No	Eastern Coastal Plains	ECP	63	CCMB	12.97781	80.24647
52	IE_NCH_1_01	IE	Yes	North Central Highlands	NCH	77	AIIMS-Jodhpur	24.54797	72.70745
53	DR_EGH_1_01	DR	Yes	Eastern Ghats	EGH	34	CCMB	16.10207	78.87181
54	IE_NCH_1_02	IE	Yes	North Central Highlands	NCH	67	GBRC	23.89331	73.40124
55	DR_ECP_2_03	DR	No	Eastern Coastal Plains	ECP	148	CCMB	10.40713	78.89401
56	DR_ECP_2_04	DR	No	Eastern Coastal Plains	ECP	125	CCMB	16.60262	81.98579
57	DR_EGH_2_01	DR	No	Eastern Ghats	EGH	112	CCMB, RGCB	10.28254	77.98213
