Sample	Clusters
S6970	DR_NT
S7895	AA_T
S5626	IE_NT
S2862	IE_NT
S5627	IE_NT
S2863	IE_NT
S6008	DR_NT
S5020	IE_NT
S670	IE_NT
S6971	DR_NT
S2092	IE_NT
S3598	IE_NT
S8976	IE_T
S440	DR_T
S2864	IE_NT
S2142	IE_NT
S2865	IE_NT
S5021	IE_NT
S2866	IE_NT
S5628	IE_NT
S6009	DR_NT
S2005	IE_NT
S5476	IE_NT
S5866	IE_NT
S8977	IE_T
S8058	AA_T
S671	IE_NT
S5629	IE_NT
S1940	IE_NT
S7806	AA_T
S6972	DR_NT
S8978	IE_T
S7359	DR_NT
S6010	DR_NT
S6011	DR_NT
S5022	IE_NT
S34	DR_T
S3599	IE_NT
S3600	IE_NT
S5394	IE_NT
S8201	AA_T
S2155	IE_NT
S3601	IE_NT
S3602	IE_NT
S6012	DR_NT
S672	IE_NT
S35	DR_T
S9320	IE_T
S3603	IE_NT
S8753	TB_T
S5325	IE_NT
S8358	TB_NT
S6013	DR_NT
S8103	AA_T
S495	DR_T
S2796	IE_NT
S36	DR_T
S3604	IE_NT
S2009	IE_NT
S2585	IE_NT
S6014	DR_NT
S5630	IE_NT
S3605	IE_NT
S400	DR_T
S2279	IE_NT
S2150	IE_NT
S2491	IE_NT
S6015	DR_NT
S8979	IE_T
S3606	IE_NT
S8344	TB_NT
S2682	IE_NT
S3607	IE_NT
S2867	IE_NT
S5631	IE_NT
S37	DR_T
S2291	IE_NT
S8614	TB_T
S8460	TB_NT
S7360	DR_NT
S5023	IE_NT
S2868	IE_NT
S8871	TB_T
S5477	IE_NT
S673	IE_NT
S2869	IE_NT
S8251	AA_T
S8980	IE_T
S3608	IE_NT
S3609	IE_NT
S2870	IE_NT
S7579	DR_NT
S6016	DR_NT
S2871	IE_NT
S8630	TB_T
S7990	AA_T
S674	IE_NT
S9321	IE_T
S6973	DR_NT
S675	IE_NT
S8981	IE_T
S2428	IE_NT
S5424	IE_NT
S6974	DR_NT
S3610	IE_NT
S3611	IE_NT
S3612	IE_NT
S676	IE_NT
S2133	IE_NT
S6975	DR_NT
S677	IE_NT
S2872	IE_NT
S8578	TB_T
S7764	AA_T
S5451	IE_NT
S678	IE_NT
S2873	IE_NT
S8069	AA_T
S6017	DR_NT
S3613	IE_NT
S679	IE_NT
S266	DR_T
S5478	IE_NT
S680	IE_NT
S8538	TB_T
S681	IE_NT
S3614	IE_NT
S8910	TB_T
S7361	DR_NT
S2874	IE_NT
S7362	DR_NT
S682	IE_NT
S7363	DR_NT
S2699	IE_NT
S2217	IE_NT
S7688	DR_NT
S5324	IE_NT
S3615	IE_NT
S3616	IE_NT
S2875	IE_NT
S5024	IE_NT
S337	DR_T
S311	DR_T
S3617	IE_NT
S3618	IE_NT
S6018	DR_NT
S683	IE_NT
S9503	IE_T
S6019	DR_NT
S7364	DR_NT
S2357	IE_NT
S8044	AA_T
S8235	AA_T
S6020	DR_NT
S3619	IE_NT
S1873	IE_NT
S5455	IE_NT
S684	IE_NT
S8028	AA_T
S3621	IE_NT
S685	IE_NT
S686	IE_NT
S8982	IE_T
S3622	IE_NT
S8983	IE_T
S5348	IE_NT
S3623	IE_NT
S3624	IE_NT
S7365	DR_NT
S8020	AA_T
S6021	DR_NT
S38	DR_T
S5025	IE_NT
S3625	IE_NT
S6976	DR_NT
S2876	IE_NT
S2063	IE_NT
S6022	DR_NT
S2877	IE_NT
S6023	DR_NT
S8984	IE_T
S6977	DR_NT
S6024	DR_NT
S687	IE_NT
S688	IE_NT
S3626	IE_NT
S3627	IE_NT
S3628	IE_NT
S689	IE_NT
S3629	IE_NT
S6978	DR_NT
S3630	IE_NT
S6025	DR_NT
S3631	IE_NT
S3632	IE_NT
S39	DR_T
S8985	IE_T
S3633	IE_NT
S9322	IE_T
S5632	IE_NT
S7981	AA_T
S690	IE_NT
S8297	AA_T
S7580	DR_NT
S6979	DR_NT
S6026	DR_NT
S691	IE_NT
S3634	IE_NT
S8754	TB_T
S2878	IE_NT
S7877	AA_T
S7366	DR_NT
S5026	IE_NT
S519	DR_T
S692	IE_NT
S3635	IE_NT
S3636	IE_NT
S693	IE_NT
S3637	IE_NT
S694	IE_NT
S368	DR_T
S7907	AA_T
S6980	DR_NT
S6027	DR_NT
S6981	DR_NT
S2879	IE_NT
S3638	IE_NT
S5027	IE_NT
S6028	DR_NT
S3639	IE_NT
S8986	IE_T
S3640	IE_NT
S8755	TB_T
S3641	IE_NT
S6029	DR_NT
S5633	IE_NT
S5028	IE_NT
S5373	IE_NT
S6030	DR_NT
S6031	DR_NT
S5479	IE_NT
S7367	DR_NT
S7368	DR_NT
S8859	TB_T
S3642	IE_NT
S6982	DR_NT
S8987	IE_T
S3643	IE_NT
S6032	DR_NT
S5480	IE_NT
S2880	IE_NT
S2692	IE_NT
S3644	IE_NT
S2463	IE_NT
S3645	IE_NT
S6033	DR_NT
S695	IE_NT
S7369	DR_NT
S7899	AA_T
S696	IE_NT
S7797	AA_T
S3646	IE_NT
S2881	IE_NT
S3647	IE_NT
S697	IE_NT
S698	IE_NT
S3648	IE_NT
S6983	DR_NT
S8008	AA_T
S699	IE_NT
S6034	DR_NT
S3649	IE_NT
S8037	AA_T
S5634	IE_NT
S6035	DR_NT
S700	IE_NT
S701	IE_NT
S8988	IE_T
S2597	IE_NT
S3650	IE_NT
S6036	DR_NT
S3651	IE_NT
S5029	IE_NT
S8503	TB_T
S7370	DR_NT
S8104	AA_T
S8354	TB_NT
S6037	DR_NT
S7959	AA_T
S3652	IE_NT
S3653	IE_NT
S481	DR_T
S5635	IE_NT
S3654	IE_NT
S3655	IE_NT
S5481	IE_NT
S702	IE_NT
S8897	TB_T
S703	IE_NT
S8399	TB_NT
S40	DR_T
S41	DR_T
S7928	AA_T
S2202	IE_NT
S2882	IE_NT
S9504	IE_T
S9505	IE_T
S704	IE_NT
S3656	IE_NT
S705	IE_NT
S2618	IE_NT
S5030	IE_NT
S42	DR_T
S706	IE_NT
S2883	IE_NT
S5031	IE_NT
S5032	IE_NT
S707	IE_NT
S6984	DR_NT
S2884	IE_NT
S5636	IE_NT
S2885	IE_NT
S43	DR_T
S8756	TB_T
S3657	IE_NT
S3658	IE_NT
S3659	IE_NT
S6038	DR_NT
S2886	IE_NT
S2887	IE_NT
S708	IE_NT
S709	IE_NT
